name,street2,city_id,state_id,country_id,country_base_gst_type,gst_category,gst_reg,gst_no,pan,ref,gst_credit,disc,nedisc,adisc,tdisc,section_id,reverse_tax,notify_email,deemed_export,sez,export,tax_exempted,sale_type,sale_sub_type_id,property_account_receivable,property_account_payable,property_payment_term
9100174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PA00016,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
[ 9700200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PA00012,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
"336 COY ASC(SUP)TYPE ""A""","PIN - 905 336, , ",H.P.,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9455010,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
3F INDUSTRIES LIMITED,"PANTHEON ROAD, EGMORE,CHENNAI",Chennai,Tamil Nadu,FALSE,FALSE,FALSE,FALSE,33AAACF2643K1ZU,,PA9500087,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
3F INDUSTRIES LTD.,"PANTAPALEM VILLAGE, MUTHUKUR MANDAL,NELLORE, ANDHRA PRADESH",Nellore,37-ANDHRA PRADESH,FALSE,FALSE,FALSE,FALSE,37AAACF2643K1ZM,AAACF2643K,PA9500098,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
A.I.C.INTERNATIONAL,"REDDIAR PALAYAM, PUDUCHERRY-605 010., ",PUDUCHERRY,Puducherry,India,FALSE,FALSE,FALSE,34AAQFA0099P1ZV,FALSE,9225003,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
A.R.ENTERPRISES,"INDUSTRIAL DEVELOPMENT AREA,,EDAYAR,BINANIPURAM P.O.,ERNAKULAM","EDAYAR, BINANIPURAM",Kerala,FALSE,FALSE,FALSE,FALSE,,,PA9500088,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
AADITHYA LAB EQUIPMENTS & CHEMICALS,"I FLOOR, YOGASHALA ROAD, (OPP. JAWAHAR LIBRARY), KANNUR - 2.",Kannur,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9100050,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
AADITYA SCIENTIFIC SOLUTIONS,"KOTTARAKARA - 691 531, KOLLAM, ",Kollam,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9100073,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
ABHIRAMI INDUSTRIES,"CHALAKUDY,",Chalakudy,Kerala,FALSE,FALSE,FALSE,FALSE,32AIDPR2375N1ZY,,PA9500073,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
ABT PARCEL SERVICE,",",Coimbatore,Kerala,FALSE,FALSE,FALSE,FALSE,32AABCA8398K3ZA,,PA9600005,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
ABT PARCEL SERVICE,",",Coimbatore,Tamil Nadu,FALSE,FALSE,FALSE,FALSE,33AABCA8398K1ZA,,PA9600021,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
AC TRADERS,"ERNAKULAM,KOCHI",ERNAKULAM,Kerala,FALSE,FALSE,FALSE,FALSE,,,PA9600018,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
ACE CHEMICALS,"SIDCO INDL.ESTATE,METTUR DAM, TAMILNADU",Salem,Tamil Nadu,FALSE,FALSE,FALSE,FALSE,33AAMFA5214A1Z5,AAMFA5214A,PA9500059,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
ACE FINEPACK PRIVATE LIMITED,"PULLEPADY JUNCTION,COCHIN.",COCHIN,Kerala,FALSE,FALSE,FALSE,FALSE,32AABCM6043R1Z8,AABCM6043R,PA9500070,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
ACID & CHEMICAL TRADING CO.,"N.M.S.COMPOUND,ERODE.",Erode,Tamil Nadu,FALSE,FALSE,FALSE,FALSE,33AACFA2208G1Z7,,PA9500080,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
ACID INDIA (BANGALORE),"6TH MAIN ROAD, NR.EAST END CIRLCE,,J.P NAGAR 3RD PHASE, BANGALORE",Bangalore,Karnataka,FALSE,FALSE,FALSE,FALSE,,,PA9500077,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
ACID SALES CORPORATION,"BEHIND BOMBAY OXYGEN, L.B.MARG,MULUND WEST, BOMBAY ",BOMBAY,Maharashtra,FALSE,FALSE,FALSE,FALSE,27AAEFA6790R1ZO,AAEFA6790R,PA9500020,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
ACURO ORGANICS LIMITED,"5-B RAJENDRA PARK,NEW DELHI.",NEW DELHI,Delhi,FALSE,FALSE,FALSE,FALSE,,,PA9500084,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
