HSN,NAME,P CODE,TOTAL QUANTITY,IGST,SGST,CGST,TOTAL AMOUNT
,,,,,,,
29339900,"1,10-PHENANTHROLINE HYDRATE.AR 5.00 GM",P75305,1,0,21.36,21.36,237.37
29039120,"1,2-DICHLOROBENZENE 99% 500 ML",D11525,5,226.67,0,0,1259.3
29039229,"1,3-DICHLORO BENZENE 98% 250 ML",D11625,5,405.72,0,0,2254
29329900,"1,4 - DIOXAN.A.R.",D73029,0,0,0,0,0
29039130,"1,4 DICHLOROBENZENE",D12539,0,0,0,0,0
29039130,"1,4 DICHLOROBENZENE",D12588,0,0,0,0,0
29039130,"1,4-DICHLOROBENZENE 500.00 GM",D12529,55,1179.36,101.56,101.56,7680.4
29280090,"1,5-DIPHENYL CARBAZIDE.A.R-99%",D31209,0,0,0,0,0
29280090,"1,5-DIPHENYL CARBAZIDE.A.R-99% 10.00 GM",D31205,11,328.37,156.04,156.04,3558.1
29280090,"1,5-DIPHENYL CARBAZONE A.R",D31201,0,0,0,0,0
29337900,1:10 PHENANTHROLINE HYDRATE 5.00 GM,P10901,27,713.03,116.56,116.56,5256.32
29039130,1-4 DICHLOROBENZENE A.R.,D72529,0,0,0,0,0
29041090,1-BUTANE SULPHONIC ACID A.R.,B74001,0,0,0,0,0
29041090,1-HEPTANE SULPHONIC ACID,H75217,0,0,0,0,0
29041090,1-HEPTANE SULPHONIC ACID A.R,H75101,0,0,0,0,0
29041090,1-HEXANE SULPHONIC ACID,H76017,0,0,0,0,0
29041090,1-HEXANE SULPHONIC ACID A.R,H75001,0,0,0,0,0
29041090,1-HEXANE SULPHONIC ACID A.R,H76001,0,0,0,0,0
29163990,1-NAPHTHYL ACETIC ACID 98.5% 25.00 GM,N10909,13,198.47,0,0,1102.6
29163990,1-NAPHTHYL ACETIC ACID 98.5% 500.00 GM,N10939,15,0,1559.25,1559.25,17325
29214511,1-NAPHTHYLAMINE A.R. 98%,N78129,0,0,0,0,0
29214590,1-NAPHTHYLAMINE HYDROCHLORIDE,N18117,0,0,0,0,0
29214511,1-NAPHTHYLAMINE-98% 500.00 GM,N18129,16,1008.1,38.11,38.11,6024.06
29041090,1-OCTANE SULPHONIC ACID A.R,O74301,0,0,0,0,0
29041090,1-PENTANE SULPHONIC ACID A.R,P74401,0,0,0,0,0
29252990,"2,6-DICHLORO PHENOL INDOPHENOL 5.00 GM",D21401,9,804.19,134.03,134.03,5956.96
32041949,"2,7-DICHLORO FLUORESCEIN A.R.",D30201,0,0,0,0,0
29280090,2.4 DINITRO PHENYL HYDRAZINE 25.00 GM,D10809,89,1191.34,8.26,8.26,6710.32
29222990,2-AMINOPHENOL (O-AMINOPHENOL) 100.00 GM,A16017,6,348.97,0,0,1938.72
29094300,2-BUTOXY ETHANOL,B42037,0,0,0,0,0
29094300,2-BUTOXY ETHANOL 500 ML,B42029,6,121.3,36.16,36.16,1075.68
29163160,2-CHLOROBENZOIC ACID - 99% 500.00 GM,C32330,0,0,0,0,0
29094400,2-ETHOXY ETHANOL,E12137,0,0,0,0,0
29094400,2-ETHOXY ETHANOL 500 ML,E12129,5,143.32,0,0,796.25
29309099,2-MERCAPTO ETHANOL 98% 100 ML,M13259,5,142.27,0,0,790.4
29094400,2-METHOXY ETHANOL 500 ML,M13129,1,0,20.98,20.98,233.12
29332990,2-METHYL IMIDAZOLE,M12317,0,0,0,0,0
29051490,2-METHYL PROPAN-1-OL - 99%,M12437,0,0,0,0,0
29051490,2-METHYL PROPAN-1-OL - 99% 500 ML,M14129,6,212.71,0,0,1181.7
29163990,"3,5-DINITRO BENZOIC ACID 99%",D11317,0,0,0,0,0
29182990,"3,5-DINITRO SALICYLIC ACID 25.00 GM",D12309,17,1145.89,87.5,87.5,7338.24
29222912,3-AMINOPHENOL (M-AMINOPHENOL) 100.00 GM,A16227,2,80.84,0,0,449.12
29222912,3-AMINOPHENOL (M-AMINOPHENOL) 50.00 GM,A16217,2,36.49,0,0,202.72
29130090,3-NITROBENZALDEHYDE 98% 50.00 GM,N15104,0,0,0,0,0
29224990,4-AMINO BENZOIC ACID (PABA) 100.00 GM,A12517,0,0,0,0,0
29222190,4-AMINO-3-HYDROXYNAPHTHALENE 25.00 GM,A12509,2,0,32.92,32.92,365.8
29224990,4-AMINOBENZOIC ACID,A12533,0,0,0,0,0
29222913,4-AMINOPHENOL - 99% 100.00 GM,A16117,5,103.43,0,0,574.6
29130090,4-CHLOROBENZALDEHYDE - 99% 100.00 GM,C31205,7,207.45,0,0,1152.48
29163190,4-CHLOROBENZOIC ACID - 99% 500.00 GM,C20429,10,597.74,0,0,3320.8
29199090,4-NITRO PHENYL DISOD.PHOS.AR 5.00 GM,N75601,1,0,72.26,72.26,802.9
29334900,8-HYDROXY QUINOLINE 99% 100.00 GM,H11917,5,136.66,122.2,122.2,2117
29242990,ACETAMIDE - 97%  250GM,A10025,0,0,0,0,0
29242990,ACETAMIDE L.R,A10329,0,0,0,0,0
29242910,ACETANILIDE 250.00 GM,A10125,108,2904.66,327.77,327.77,19778.88
28152100,ACETIC ACID,A10133,0,0,0,0,0
29152100,ACETIC ACID ALDEHYDE FREE,A10229,0,0,0,0,0
29152100,ACETIC ACID ALDEHYDE FREE 2.5 L,A10237,2,199.93,0,0,1110.72
29152100,ACETIC ACID GLACIAL 5 L,A10151,7,0,588.66,588.66,6540.69
29152100,ACETIC ACID GLACIAL A.R. 2.5 L,A74237,3,0,184.28,184.28,2047.52
29152100,ACETIC ACID GLACIAL A.R. 500 ML,A74229,0,0,0,0,0
29152100,ACETIC ACID GLACIAL L.R 500 ML,A10129,817,11438.38,3316.83,3316.83,100400.17
29152100,ACETIC ACID GLACIAL LR 2.5 L,A10137,112,4023.3,3089.1,3089.1,56674.8
29152100,ACETIC ACID GLACIAL.A.R.,A70133,0,0,0,0,0
29152100,ACETIC ACID IP/USP,A84288,0,0,0,0,0
29152100,ACETIC ACID IP/USP 500 ML,A84229,0,0,0,0,0
29152100,ACETIC ACID SOLUTION 10%,A20399,0,0,0,0,0
