HSN,NAME,P CODE,TOTAL QUANTITY,UNTAXED TOTAL,IGST,SGST,CGST,TAXED TOTAL
,,,,,,,,
13012000,GUM ACACIA 500.00 GM,G10429,5,1267.9,0,31.7,31.7,1331.3
13012000,GUM ACACIA 500.00 GM,G10429,101,21549.54,2028.64,270.84,270.84,24119.86
13019017,GUM TRAGACANTH POWDER 500.00 GM,G20329,10,3424.35,75.58,95.64,95.64,3691.21
13019049,CANADA BALSAM (SYNTHETIC) 250 ML,C11725,2,612.7,30.64,0,0,643.34
13022000,PECTIN PURE (For Biochemistry) 100.00 GM,P10717,10,2739.1,493.04,0,0,3232.14
13023100,AGAR AGAR BACTERIOLOGICAL 250.00 GM,A10925,154,159644.16,95993.14,3864.95,3864.95,263367.2
13023100,AGAR AGAR BACTERIOLOGICAL 2.50 KG,A10939,10,54625,9832.5,0,0,64457.5
13023290,NUTRIENT AGAR 100.00 GM,N14009,7,4656.33,577.66,260.48,260.48,5754.95
15050090,LANOLIN ANHYDROUS 100.00 GM,L12117,16,1654.24,198.51,0,0,1852.75
15099090,OLIVE OIL 100 ML,O14217,9,1785.6,89.28,0,0,1874.88
15153090,CASTOR OIL 500 ML,C25329,32,5911.36,295.57,0,0,6206.93
15219010,BEES WAX (WHITE) 250.00 GM,B11025,2,442.4,79.63,0,0,522.03
15219010,BEES WAX (WHITE) 500.00 GM,B11029,15,6056,667.67,253.44,253.44,7230.55
16030010,BILE SALT BACTERIOLOGICAL 100.00 GM,B10517,28,13306.54,1417.06,488.08,488.08,15699.76
16030010,BEEF EXTRACT 250.00 GM,B10525,32,11025.76,1283.66,203.86,203.86,12717.14
16030010,MEAT EXTRACT POWDER 250.00 GM,M10625,1,587.76,0,35.27,35.27,658.3
17011490,SUCROSE 500.00 GM,S39929,208,30836.74,7158.26,992.76,992.76,39980.52
17011490,SUCROSE L.R,S39988,1,2500,125,0,0,2625
17011490,SUCROSE 50.00 KG,S39999,4,15200,0,1368,1368,17936
17021110,LACTOSE MONO HYDRATE 500.00 GM,L10829,86,19839.69,6611.31,877.01,877.01,28205.02
17023020,D-GLUCOSE ANHYDROUS.L.R. 500.00 GM,G10229,321,34387.34,19247.76,819.49,819.49,55274.08
17023020,D-GLUCOSE MONOHYDRATE.L.R. 500.00 GM,G10329,4,457.06,0,41.13,41.13,539.32
17023020,D-GLUCOSE ANHYDROUS.L.R.(B) 5.00 KG,G11540,16,11453.92,2798.2,507.7,507.7,15267.52
17023020,D-GLUCOSE ANHYDROUS (CARTON) 5.00 KG,G11550,185,100190.68,0,9017.17,9017.17,118225.02
17023020,D-GLUCOSE ANHYDROUS.A.R. 500.00 GM,G71229,25,3120,561.6,0,0,3681.6
17023020,D-GLUCOSE ANHYDROUS IP/USP 500.00 GM,G83029,52,6264.26,0,563.79,563.79,7391.84
17023020,D-GLUCOSE ANHYDROUS IP/USP 35.00 KG,G84503,254,671213.2,12600,64680.59,64680.59,813174.38
17025000,FRUCTOSE 100.00 GM,F41205,76,8294.72,1752.04,174.53,174.53,10395.82
17029020,MALTOSE MONOHYDRATE 250.00 GM,M11225,25,7767.9,2531.08,379.68,379.68,11058.34
21021090,YEAST EXTRACT L.R 250.00 GM,Y10225,87,29738.56,4266.63,152.04,152.04,34309.27
25010010,SODIUM CHLORIDE L.R. 5.00 KG,S12039,4,1694.48,0,0,0,1694.48
25010010,SODIUM CHLORIDE L.R. 500.00 GM,S12229,531,33657.17,0,0,0,33657.17
25010010,SODIUM CHLORIDE L.R 25.00 KG,S12288,2,2500,0,0,0,2500
25010010,SODIUM CHLORIDE A.R. 500.00 GM,S75429,19,1272.06,0,0,0,1272.06
25010010,SODIUM CHLORIDE A.R 25.00 KG,S75488,2,2750,0,0,0,2750
25010010,SODIUM CHLORIDE IP/USP 5.00 KG,S83801,1,295,0,0,0,295
25010010,SODIUM CHLORIDE IP/USP 50.00 KG,S83805,24,50400,0,0,0,50400
25010010,SODIUM CHLORIDE IP/USP 25.00 KG,S83806,9,11500,0,0,0,11500
25070021,LIGHT KAOLIN I.P. 500.00 GM,K81229,1,403.62,0,10.09,10.09,423.8
25070029,KAOLIN (ALUMINIUM SILICATE) 100.00 GM,K11217,2,226.92,0,5.67,5.67,238.26
25174100,MARBLE CHIPS 500.00 GM,M10829,21,1302,0,32.55,32.55,1367.1
25199040,MAGNESIUM OXIDE LIGHT 250.00 GM,M12225,53,11429.89,736.65,62.53,62.53,12291.6
25249039,ASBESTOS FOR GOOCH CRUCIBLES 100.00 GM,A19017,2,726.88,36.34,0,0,763.22
27101211,PETROLEUM ETHER 60-80 L.R. 500 ML,P10329,130,18080.3,5176.97,756.18,756.18,24769.63
