HSN,NAME,P CODE,TOTAL QUANTITY,UNTAXED TOTAL,IGST,SGST,CGST,TAXED TOTAL
29152100,ACETIC ACID GLACIAL L.R 500 ML,A10129,4.0,577.2,0,51.95,51.95,681.1000000000001,All / Saleable / INDICATOR PAPERS
29152100,ACETIC ACID GLACIAL LR 2.5 L,A10137,2.0,1124.5,0,101.2,101.2,1326.9,All / Saleable / INDICATOR PAPERS
29141100,ACETONE L.R. 500 ML,A10529,3.0,546.0,0,49.14,49.14,644.28,All / Saleable / ACIDS
29141100,ACETONE L.R. 2.5 L,A10537,1.0,703.3,0,63.3,63.3,829.8999999999999,All / Saleable / ACIDS
29214110,ANILINE L.R. 500 ML,A10629,1.0,260.0,0,23.4,23.4,306.79999999999995,All / Saleable / LABORATORY CHEMICALS
29269000,ACETONITRILE 500 ML,A10729,1.0,284.05,0,25.56,25.56,335.17,All / Saleable / ACIDS
28142000,AMMONIA SOLUTION SP.GR.0.91 500 ML,A11679,5.0,396.5,0,35.68,35.68,467.86,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION SP.GR.0.91 2.5 L,A11687,3.0,842.4,0,75.82,75.82,994.04,All / Saleable / LABORATORY CHEMICALS
28271000,AMMONIUM CHLORIDE L.R. 500.00 GM,A11929,22.0,2431.0,0,218.8,218.8,2868.6000000000004,All / Saleable / LABORATORY CHEMICALS
28332990,AMMONIUM FERROUS SULPHATE L.R. 500.00 GM,A12429,31.0,3485.95,20.24,303.61,303.61,4113.41,All / Saleable / LABORATORY CHEMICALS
28362090,AMMONIUM CARBONATE L.R. 500.00 GM,A14129,1.0,142.35,0,12.81,12.81,167.97,All / Saleable / LABORATORY CHEMICALS
28334000,AMMONIUM PERSULPHATE L.R. 500.00 GM,A15329,3.0,571.3499999999999,0,51.42,51.42,674.1899999999998,All / Saleable / LABORATORY CHEMICALS
28372010,AMMONIUM THIOCYNATE 250.00 GM,A15429,10.0,1605.5,0,144.5,144.5,1894.5,All / Saleable / LABORATORY CHEMICALS
