HSN,NAME,P CODE,TOTAL QUANTITY,UNTAXED TOTAL,IGST,SGST,CGST,TAXED TOTAL
29242990,ACETAMIDE - 97%  250GM,A10025,20.0,2195.2,395.14,0,0,2590.3399999999997,All / Saleable / LABORATORY CHEMICALS
29141100,ACETONE COMMERCIAL 25 L,A10033,20.0,44000.0,0,3960.0,3960.0,51920.0,All / Saleable / ACIDS
29242910,ACETANILIDE 250.00 GM,A10125,133.0,23692.68,3719.629999999999,272.53,272.53,27957.369999999995,All / Saleable / LABORATORY CHEMICALS
29152100,ACETIC ACID GLACIAL L.R 500 ML,A10129,762.0,90663.25,11444.78,2437.2999999999997,2437.2999999999997,106982.63000000002,All / Saleable / INDICATOR PAPERS
29152100,ACETIC ACID GLACIAL LR 2.5 L,A10137,115.0,56411.84,4864.08,2645.0400000000004,2645.0400000000004,66565.99999999999,All / Saleable / INDICATOR PAPERS
29152100,ACETIC ACID GLACIAL 5 L,A10151,3.0,3018.7799999999997,0,271.69,271.69,3562.16,All / Saleable / INDICATOR PAPERS
29400000,L(+) ARABINOSE 5.00 GM,A10201,5.0,1543.8,0,138.94,138.94,1821.68,All / Saleable / LABORATORY CHEMICALS
29225090,L-ASPARAGINE MONOHYDRATE 99% 25.00 GM,A10309,3.0,481.65,86.69,0,0,568.34,All / Saleable / LABORATORY CHEMICALS
29182200,ASPIRIN(ACETYL SALICYLIC ACID) 250.00 GM,A10325,10.0,2008.8,0,180.79,180.79,2370.38,All / Saleable / LABORATORY CHEMICALS
29141990,ACETYL ACETONE 250 ML,A10425,5.0,3115.5,0,280.39,280.39,3676.2799999999997,All / Saleable / LABORATORY CHEMICALS
29141100,ACETONE L.R. 500 ML,A10529,1640.0,245310.24000000005,36404.53999999999,3875.6399999999994,3875.6399999999994,289466.0599999999,All / Saleable / ACIDS
29141100,ACETONE L.R. 2.5 L,A10537,247.0,140660.0,19667.62,2825.57,2825.57,165978.76,All / Saleable / ACIDS
29141100,ACETONE 5 L,A10551,20.0,10300.0,0,927.0,927.0,12154.0,All / Saleable / ACIDS
29214110,ANILINE L.R. 500 ML,A10629,143.0,33193.2,4633.34,670.72,670.72,39167.98,All / Saleable / LABORATORY CHEMICALS
29171200,ADIPIC ACID L.R. 250.00 GM,A10725,2.0,294.56,53.02,0,0,347.58,All / Saleable / LABORATORY CHEMICALS
29269000,ACETONITRILE 500 ML,A10729,5.0,1201.75,216.31,0,0,1418.06,All / Saleable / ACIDS
29143990,ANTHRONE 25.00 GM,A10809,17.0,6487.8,725.8699999999999,220.97999999999996,220.97999999999996,7655.629999999999,All / Saleable / LABORATORY CHEMICALS
29029090,ANTHRACENE - 99% 100.00 GM,A10817,31.0,10064.94,1466.3000000000002,172.7,172.7,11876.64,All / Saleable / LABORATORY CHEMICALS
13023100,AGAR AGAR BACTERIOLOGICAL 250.00 GM,A10925,145.0,149198.4,22050.659999999996,2402.54,2402.54,176054.13999999998,All / Saleable / LABORATORY CHEMICALS
13023100,AGAR AGAR BACTERIOLOGICAL 2.50 KG,A10939,10.0,54625.0,9832.5,0,0,64457.5,All / Saleable / LABORATORY CHEMICALS
29189900,ALUMINON POWDER 25.00 GM,A11009,10.0,5573.8,0,501.64,501.64,6577.080000000001,All / Saleable / LABORATORY CHEMICALS
76032000,ALUMINIUM POWDER 250.00 GM,A11025,165.0,19217.039999999997,1318.9,1070.08,1070.08,22676.1,All / Saleable / LABORATORY CHEMICALS
29141100,ACETONE L.R 25 L,A11033,39.0,87155.0,553.5,7567.2,7567.2,102842.9,All / Saleable / ACIDS
28333010,ALUMINIUM AMMONIUM SULPHATE 500.00 GM,A11129,9.0,965.1999999999999,88.92,42.41,42.41,1138.94,All / Saleable / LABORATORY CHEMICALS
38220019,ALKALINE PYROGALLOL SOLUTION 125 ML,A11171,16.0,3494.4,419.33,0,0,3913.73,All / Saleable / LABORATORY CHEMICALS
28342990,ALUMINIUM NITRATE L.R. 500.00 GM,A11229,173.0,20532.299999999996,1069.28,1313.2400000000002,1313.2400000000002,24228.060000000005,All / Saleable / LABORATORY CHEMICALS
28333030,ALUMINIUM POT.SULPHATE L.R 500.00 GM,A11329,142.0,10129.71,1823.3500000000001,0,0,11953.060000000001,All / Saleable / LABORATORY CHEMICALS
28333030,ALUMINIUM POT.SULPHATE 25.00 KG,A11389,1.0,1750.0,315.0,0,0,2065.0,All / Saleable / LABORATORY CHEMICALS
28332210,ALUMINIUM SULPHATE L.R. 500.00 GM,A11429,652.0,62057.439999999995,9465.97,852.1999999999999,852.1999999999999,73227.81,All / Saleable / LABORATORY CHEMICALS
28332210,ALUMINIUM SULPHATE L.R 5.00 KG,A11439,3.0,900.0,0,81.0,81.0,1062.0,All / Saleable / LABORATORY CHEMICALS
38220090,ALCOHOLIC POT.HYDRO.SOLN.0.5N 5 L,A11551,4.0,2801.8,0,252.16,252.16,3306.12,All / Saleable / LABORATORY CHEMICALS
28183000,ALUMINIUM HYDROXIDE POWDER 250.00 GM,A11625,16.0,2020.0,274.32,44.64,44.64,2383.6,All / Saleable / LABORATORY CHEMICALS
29143910,ACETOPHENONE 500 ML,A11629,53.0,15308.739999999998,2058.31,348.63,348.63,18064.309999999998,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION 0.91 5 L,A11651,286.0,50708.09999999999,8441.67,342.89,342.89,59835.54999999999,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION.C.P. 30 L,A11670,56.0,40200.0,0,3618.0,3618.0,47436.0,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION SP.GR.0.91 500 ML,A11679,1420.0,96080.87,13327.199999999999,1960.6399999999999,1960.6399999999999,113329.34999999998,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION 0.91 30 L,A11680,40.0,22800.0,4104.0,0,0,26904.0,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION SP.GR.0.91 2.5 L,A11687,166.0,40511.66,4575.39,1358.32,1358.32,47803.69,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION 10% 25 L,A11699,227.0,124850.0,0,11236.5,11236.5,147323.0,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION SP.GR.0.89 500 ML,A11779,55.0,4217.04,651.46,53.81,53.81,4976.12,All / Saleable / LABORATORY CHEMICALS
29152990,AMMONIUM ACETATE L.R. 500.00 GM,A11829,113.0,17695.24,512.11,1336.5199999999998,1336.5199999999998,20880.389999999996,All / Saleable / LABORATORY CHEMICALS
29051490,AMYL ALCOHOL ISO 2.5 L,A11837,80.0,64691.2,11644.42,0,0,76335.62,All / Saleable / LABORATORY CHEMICALS
29051490,AMYL ALCOHOL (ISO) 500 ML,A11879,606.0,98897.13,4979.46,6411.02,6411.02,116698.63,All / Saleable / LABORATORY CHEMICALS
28271000,AMMONIUM CHLORIDE L.R. 500.00 GM,A11929,1081.0,96549.45999999999,14211.03,1584.15,1584.15,113928.79000000001,All / Saleable / LABORATORY CHEMICALS
28271000,AMMONIUM CHLORIDE L.R. 5.00 KG,A11939,15.0,9911.64,441.1,671.5,671.5,11695.739999999998,All / Saleable / LABORATORY CHEMICALS
39139090,AGAROSE FOR ELECTROPHORESIS 10.00 GM,A12005,10.0,8056.200000000001,830.06,310.03,310.03,9506.320000000002,All / Saleable / LABORATORY CHEMICALS
28415090,AMMONIUM DICHROMATE L.R. 500.00 GM,A12029,26.0,10236.79,1398.51,222.05,222.05,12079.400000000001,All / Saleable / LABORATORY CHEMICALS
28352990,AMMONIUM DIHYD.ORTHOPHOSPHATE 500.00 GM,A12129,17.0,4093.49,0,368.40999999999997,368.40999999999997,4830.3099999999995,All / Saleable / LABORATORY CHEMICALS
28352990,AMMONIUM DIHYD.ORTHO PHOSPHATE 25.00 KG,A12188,2.0,8750.0,0,787.5,787.5,10325.0,All / Saleable / LABORATORY CHEMICALS
28419000,AMMONIUM META VANADATE 100.00 GM,A12217,16.0,8687.53,1217.9,172.92000000000002,172.92000000000002,10251.269999999999,All / Saleable / LABORATORY CHEMICALS
