Invoice No,Sale Order,Ref Doc,Name,Invoice Date,Product,Qty,Discount,Taxes,Tax Desc,Unit Price,Sub Total,Total
SCNJ/2017/0002,321FS\OUT\00489,321FS\IN\00003,9100202,2017-08-02,S53109,1.0,38.0,18.0,Local,120.0,74.4,87.8
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,S13617,10.0,38.0,18.0,Local,466.0,2889.2,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,B20829,10.0,38.0,12.0,Local,130.0,806.0,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,R20171,10.0,38.0,12.0,Local,95.0,589.0,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,M31871,6.0,38.0,12.0,Local,120.0,446.4,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,F21971,6.0,38.0,12.0,Local,137.0,509.64,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,A10129,4.0,38.0,18.0,Local,222.0,550.56,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,A10529,10.0,38.0,18.0,Local,280.0,1736.0,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,A11679,10.0,38.0,18.0,Local,122.0,756.4,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,A13329,10.0,38.0,18.0,Local,163.0,1010.6,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,C12929,10.0,38.0,18.0,Local,475.0,2945.0,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,F10729,5.0,38.0,18.0,Local,130.0,403.0,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,W20671,10.0,38.0,12.0,Local,95.0,589.0,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,S24571,10.0,38.0,12.0,Local,99.0,613.8,18077.5
SCNJ/2017/0001,FS-HO\OUT\00137,FS-HO\IN\00001,9100012,2017-07-22,S22579,6.0,38.0,12.0,Local,130.0,483.6,18077.5
