Invoice No,Sale Order,Ref Doc,Name,Invoice Date,Product,Qty,Discount,Additional Discount,Scheme Discount,Taxes,Tax Desc,Unit Price,Sub Total,Total
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,B10429,2.0,35.0,5.0,0.0,18.0,Local,1021.0,1260.94,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,C13729,1.0,35.0,5.0,0.0,18.0,Local,660.0,407.55,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,T11629,1.0,35.0,5.0,0.0,18.0,Local,415.0,256.26,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,A12329,1.0,35.0,5.0,0.0,18.0,Local,281.0,173.52,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,A15025,4.0,35.0,5.0,0.0,18.0,Local,185.0,456.95,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,K11217,1.0,35.0,5.0,0.0,5.0,Local,183.0,113.0,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,T10125,2.0,35.0,5.0,0.0,18.0,Local,521.0,643.44,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,S16329,4.0,35.0,5.0,0.0,18.0,Local,187.0,461.89,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,S13617,2.0,35.0,5.0,0.0,18.0,Local,466.0,575.51,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,F11329,2.0,35.0,5.0,0.0,18.0,Local,231.0,285.29,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,G10529,1.0,35.0,5.0,0.0,18.0,Local,687.0,424.22,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,P10159,1.0,35.0,5.0,0.0,18.0,Local,374.0,230.95,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,B10625,2.0,35.0,5.0,0.0,18.0,Local,526.0,649.61,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,D21179,2.0,35.0,5.0,0.0,18.0,Local,303.0,374.21,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,W12079,16.0,35.0,5.0,5.0,12.0,Local,425.0,3989.05,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,B12817,1.0,35.0,5.0,0.0,18.0,Local,400.0,247.0,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,S14025,2.0,35.0,5.0,0.0,18.0,Local,260.0,321.1,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,V43209,1.0,35.0,5.0,0.0,18.0,Local,388.0,239.59,20159.41
SAJ-331-B-0895,SO-331-B-00722,331FG/OUT/00900,9225451,2018-02-13,E11529,2.0,35.0,5.0,0.0,18.0,Local,324.0,400.14,20159.41
