Sale Order,Date of order,reference,Customer,Product,Quantity,Discount,Additional Discount,Scheme Discount,Taxes,Tax Desc,Unit Price,Sub Total,Total
SO05175,2018-02-14,"""""",9100359,D11317,2.0,38.0,0.0,0.0,18.0,Local,475.0,589.0,4519.08
SO05175,2018-02-14,"""""",9100359,C20429,1.0,38.0,0.0,0.0,18.0,Local,593.0,367.66,4519.08
SO05175,2018-02-14,"""""",9100359,C20629,1.0,38.0,0.0,0.0,18.0,Local,168.0,104.16,4519.08
SO05175,2018-02-14,"""""",9100359,A18050,1.0,38.0,0.0,0.0,12.0,Local,3029.0,1877.98,4519.08
SO05175,2018-02-14,"""""",9100359,N14009,1.0,38.0,0.0,0.0,18.0,Local,1167.0,723.54,4519.08
SO05175,2018-02-14,"""""",9100359,Z70329,1.0,38.0,0.0,0.0,18.0,Local,424.0,262.88,4519.08
SO05174,2018-02-14,"""""",9100359,NG6805,5.0,34.0,0.0,0.0,18.0,Local,207.0,683.1,806.06
SO05173,2018-02-14,"""""",9100202,S14529,1.0,38.0,0.0,0.0,18.0,Local,155.0,96.1,113.4
SO05172,2018-02-14,"""""",9100250,A11033,2.0,0.0,0.0,0.0,18.0,Local,2750.0,5500.0,6490.0
SO05171,2018-02-14,"""ddrc""",9100020,B42471,2.0,38.0,10.0,0.0,12.0,Local,90.0,100.44,738.23
SO05171,2018-02-14,"""ddrc""",9100020,S11929,3.0,38.0,10.0,0.0,18.0,Local,157.0,262.82,738.23
SO05171,2018-02-14,"""ddrc""",9100020,T21471,5.0,38.0,10.0,0.0,12.0,Local,101.0,281.79,738.23
SO05170,2018-02-14,"""""",9100271,I11101,8.0,0.0,0.0,0.0,18.0,Local,625.0,5000.0,5900.0
SO05169,2018-02-14,"""""",9100271,E21071,2.0,41.1,0.0,0.0,12.0,Local,98.0,115.44,4098.28
SO05169,2018-02-14,"""""",9100271,H16017,1.0,41.1,0.0,0.0,18.0,Local,346.0,203.79,4098.28
SO05169,2018-02-14,"""""",9100271,S51271,10.0,41.1,0.0,0.0,12.0,Local,545.0,3210.05,4098.28
SO05169,2018-02-14,"""""",9100271,T21471,2.0,41.1,0.0,0.0,12.0,Local,101.0,118.98,4098.28
SO05168,2018-02-14,"""""",9100530,S51279,1.0,38.0,0.0,0.0,12.0,Local,1900.0,1178.0,2153.38
SO05168,2018-02-14,"""""",9100530,S15029,6.0,38.0,0.0,0.0,18.0,Local,190.0,706.8,2153.38
SO05166,2018-02-14,"""""",9100577,A10137,2.0,38.0,0.0,0.0,18.0,Local,865.0,1072.6,62962.26
SO05166,2018-02-14,"""""",9100577,A10129,6.0,38.0,0.0,0.0,18.0,Local,222.0,825.84,62962.26
SO05166,2018-02-14,"""""",9100577,A11829,8.0,38.0,0.0,0.0,18.0,Local,272.0,1349.12,62962.26
SO05166,2018-02-14,"""""",9100577,A11929,16.0,38.0,0.0,0.0,18.0,Local,170.0,1686.4,62962.26
SO05166,2018-02-14,"""""",9100577,A13129,6.0,38.0,0.0,0.0,18.0,Local,309.0,1149.48,62962.26
SO05166,2018-02-14,"""""",9100577,B10129,10.0,38.0,0.0,0.0,18.0,Local,540.0,3348.0,62962.26
SO05166,2018-02-14,"""""",9100577,B10729,10.0,38.0,0.0,0.0,18.0,Local,213.0,1320.6,62962.26
SO05166,2018-02-14,"""""",9100577,B20829,6.0,38.0,0.0,0.0,12.0,Local,130.0,483.6,62962.26
SO05166,2018-02-14,"""""",9100577,C10529,10.0,38.0,0.0,0.0,18.0,Local,228.0,1413.6,62962.26
SO05166,2018-02-14,"""""",9100577,C10729,5.0,38.0,0.0,0.0,18.0,Local,142.0,440.2,62962.26
SO05166,2018-02-14,"""""",9100577,C10929,10.0,38.0,0.0,0.0,18.0,Local,168.0,1041.6,62962.26
SO05166,2018-02-14,"""""",9100577,C12617,10.0,38.0,0.0,0.0,18.0,Local,540.0,3348.0,62962.26
SO05166,2018-02-14,"""""",9100577,F10329,5.0,38.0,0.0,0.0,18.0,Local,163.0,505.3,62962.26
SO05166,2018-02-14,"""""",9100577,G11029,8.0,38.0,0.0,0.0,18.0,Local,273.0,1354.08,62962.26
SO05166,2018-02-14,"""""",9100577,H10251,2.0,38.0,0.0,0.0,18.0,Local,796.0,987.04,62962.26
SO05166,2018-02-14,"""""",9100577,I11129,4.0,38.0,0.0,0.0,18.0,Local,247.0,612.56,62962.26
SO05166,2018-02-14,"""""",9100577,L10129,16.0,38.0,0.0,0.0,18.0,Local,357.0,3541.44,62962.26
SO05166,2018-02-14,"""""",9100577,L30329,10.0,38.0,0.0,0.0,18.0,Local,407.0,2523.4,62962.26
SO05166,2018-02-14,"""""",9100577,L30575,8.0,38.0,0.0,0.0,12.0,Local,160.0,793.6,62962.26
SO05166,2018-02-14,"""""",9100577,L30579,6.0,38.0,0.0,0.0,12.0,Local,285.0,1060.2,62962.26
SO05166,2018-02-14,"""""",9100577,L40851,20.0,38.0,0.0,0.0,12.0,Local,77.0,954.8,62962.26
SO05166,2018-02-14,"""""",9100577,L40951,20.0,38.0,0.0,0.0,12.0,Local,77.0,954.8,62962.26
SO05166,2018-02-14,"""""",9100577,M10129,6.0,38.0,0.0,0.0,18.0,Local,160.0,595.2,62962.26
SO05166,2018-02-14,"""""",9100577,M10329,10.0,38.0,0.0,0.0,18.0,Local,151.0,936.2,62962.26
SO05166,2018-02-14,"""""",9100577,M10629,8.0,38.0,0.0,0.0,18.0,Local,303.0,1502.88,62962.26
SO05166,2018-02-14,"""""",9100577,P11929,3.0,38.0,0.0,0.0,18.0,Local,553.0,1028.58,62962.26
SO05166,2018-02-14,"""""",9100577,S51271,14.0,38.0,0.0,0.0,12.0,Local,545.0,4730.6,62962.26
SO05166,2018-02-14,"""""",9100577,S14329,3.0,38.0,0.0,0.0,18.0,Local,475.0,883.5,62962.26
SO05166,2018-02-14,"""""",9100577,S24571,8.0,38.0,0.0,0.0,12.0,Local,99.0,491.04,62962.26
SO05166,2018-02-14,"""""",9100577,T33271,10.0,38.0,0.0,0.0,12.0,Local,1647.0,10211.4,62962.26
SO05166,2018-02-14,"""""",9100577,Z10129,6.0,38.0,0.0,0.0,18.0,Local,373.0,1387.56,62962.26
SO05166,2018-02-14,"""""",9100577,Z10329,8.0,38.0,0.0,0.0,18.0,Local,368.0,1825.28,62962.26
SO05163,2018-02-13,"""""",9100330,I40956,100.0,38.0,10.0,0.0,12.0,Local,184.0,10267.2,331217.86
SO05163,2018-02-13,"""""",9100330,I51017,20.0,38.0,10.0,0.0,12.0,Local,99.0,1104.84,331217.86
SO05163,2018-02-13,"""""",9100330,I11129,16.0,38.0,10.0,0.0,18.0,Local,247.0,2205.22,331217.86
SO05163,2018-02-13,"""""",9100330,L10829,2.0,38.0,10.0,0.0,18.0,Local,403.0,449.75,331217.86
SO05163,2018-02-13,"""""",9100330,L20129,80.0,38.0,10.0,0.0,12.0,Local,194.0,8660.16,331217.86
SO05163,2018-02-13,"""""",9100330,L10129,60.0,38.0,10.0,0.0,18.0,Local,357.0,11952.36,331217.86
SO05163,2018-02-13,"""""",9100330,L30329,60.0,38.0,10.0,0.0,18.0,Local,407.0,13626.36,331217.86
SO05163,2018-02-13,"""""",9100330,L30575,24.0,38.0,10.0,0.0,12.0,Local,160.0,2142.72,331217.86
SO05163,2018-02-13,"""""",9100330,L40851,100.0,38.0,10.0,0.0,12.0,Local,77.0,4296.6,331217.86
SO05163,2018-02-13,"""""",9100330,L41171,30.0,38.0,10.0,0.0,12.0,Local,102.0,1707.48,331217.86
SO05163,2018-02-13,"""""",9100330,L40951,100.0,38.0,10.0,0.0,12.0,Local,77.0,4296.6,331217.86
SO05163,2018-02-13,"""""",9100330,L41181,30.0,38.0,10.0,0.0,12.0,Local,102.0,1707.48,331217.86
SO05163,2018-02-13,"""""",9100330,L31271,10.0,38.0,10.0,0.0,12.0,Local,115.0,641.7,331217.86
SO05163,2018-02-13,"""""",9100330,M13025,5.0,38.0,10.0,0.0,18.0,Local,222.0,619.38,331217.86
SO05163,2018-02-13,"""""",9100330,M10129,60.0,38.0,10.0,0.0,18.0,Local,160.0,5356.8,331217.86
SO05163,2018-02-13,"""""",9100330,M10329,60.0,38.0,10.0,0.0,18.0,Local,151.0,5055.48,331217.86
SO05163,2018-02-13,"""""",9100330,M21271,64.0,38.0,10.0,0.0,12.0,Local,89.0,3178.37,331217.86
SO05163,2018-02-13,"""""",9100330,M10429,20.0,38.0,10.0,0.0,18.0,Local,165.0,1841.4,331217.86
SO05163,2018-02-13,"""""",9100330,M10529,10.0,38.0,10.0,0.0,18.0,Local,407.0,2271.06,331217.86
SO05163,2018-02-13,"""""",9100330,M10717,1.0,38.0,10.0,0.0,18.0,Local,2272.0,1267.78,331217.86
SO05163,2018-02-13,"""""",9100330,M25625,1.0,38.0,10.0,0.0,18.0,Local,1986.0,1108.19,331217.86
SO05163,2018-02-13,"""""",9100330,M31871,64.0,38.0,10.0,0.0,12.0,Local,120.0,4285.44,331217.86
SO05163,2018-02-13,"""""",9100330,M41471,64.0,38.0,10.0,0.0,12.0,Local,90.0,3214.08,331217.86
SO05163,2018-02-13,"""""",9100330,M41571,5.0,38.0,10.0,0.0,12.0,Local,94.0,262.26,331217.86
SO05163,2018-02-13,"""""",9100330,N10117,5.0,38.0,10.0,0.0,18.0,Local,269.0,750.51,331217.86
SO05163,2018-02-13,"""""",9100330,N10225,20.0,38.0,10.0,0.0,18.0,Local,239.0,2667.24,331217.86
SO05163,2018-02-13,"""""",9100330,N20271,64.0,38.0,10.0,0.0,12.0,Local,155.0,5535.36,331217.86
SO05163,2018-02-13,"""""",9100330,N11525,2.0,38.0,10.0,0.0,18.0,Local,865.0,965.34,331217.86
SO05163,2018-02-13,"""""",9100330,N12025,2.0,38.0,10.0,0.0,18.0,Local,568.0,633.89,331217.86
SO05163,2018-02-13,"""""",9100330,N10729,48.0,38.0,10.0,0.0,18.0,Local,158.0,4231.87,331217.86
SO05163,2018-02-13,"""""",9100330,O10529,5.0,38.0,10.0,0.0,18.0,Local,883.0,2463.57,331217.86
SO05163,2018-02-13,"""""",9100330,O10229,40.0,38.0,10.0,0.0,18.0,Local,249.0,5557.68,331217.86
SO05163,2018-02-13,"""""",9100330,P10129,6.0,38.0,10.0,0.0,18.0,Local,414.0,1386.07,331217.86
SO05163,2018-02-13,"""""",9100330,P10029,1.0,38.0,10.0,0.0,18.0,Local,530.0,295.74,331217.86
SO05163,2018-02-13,"""""",9100330,P10429,16.0,38.0,10.0,0.0,18.0,Local,324.0,2892.67,331217.86
SO05163,2018-02-13,"""""",9100330,P40871,64.0,38.0,10.0,0.0,12.0,Local,95.0,3392.64,331217.86
SO05163,2018-02-13,"""""",9100330,P10517,15.0,38.0,10.0,0.0,18.0,Local,424.0,3548.88,331217.86
SO05163,2018-02-13,"""""",9100330,P12229,5.0,38.0,10.0,0.0,18.0,Local,260.0,725.4,331217.86
SO05163,2018-02-13,"""""",9100330,P11929,20.0,38.0,10.0,0.0,18.0,Local,553.0,6171.48,331217.86
SO05163,2018-02-13,"""""",9100330,P12129,10.0,38.0,10.0,0.0,18.0,Local,602.0,3359.16,331217.86
SO05163,2018-02-13,"""""",9100330,P12325,2.0,38.0,10.0,0.0,18.0,Local,483.0,539.03,331217.86
SO05163,2018-02-13,"""""",9100330,P12929,2.0,38.0,10.0,0.0,18.0,Local,530.0,591.48,331217.86
SO05163,2018-02-13,"""""",9100330,P14317,20.0,38.0,10.0,0.0,18.0,Local,1050.0,11718.0,331217.86
SO05163,2018-02-13,"""""",9100330,P23417,5.0,38.0,10.0,0.0,18.0,Local,1671.0,4662.09,331217.86
SO05163,2018-02-13,"""""",9100330,R11217,10.0,38.0,10.0,0.0,18.0,Local,376.0,2098.08,331217.86
SO05163,2018-02-13,"""""",9100330,S30271,64.0,38.0,10.0,0.0,12.0,Local,119.0,4249.73,331217.86
SO05163,2018-02-13,"""""",9100330,S26071,64.0,38.0,10.0,0.0,12.0,Local,115.0,4106.88,331217.86
SO05163,2018-02-13,"""""",9100330,S20471,10.0,38.0,10.0,0.0,12.0,Local,143.0,797.94,331217.86
