Sale Order,Date of order,reference,Customer,Product,Quantity,Discount,Taxes,Tax Desc,Unit Price,Sub Total,Total
SO1411,2017-09-11,"""""",9400500,P20571,30.0,45.0,12.0,Inter,230.0,3795.0,4250.4
SO1412,2017-09-11,"""PO:4500107546 DT:08/09/2017""",9100575,S13888,4.0,0.0,18.0,Local,1750.0,7000.0,8260.0
SO1410,2017-09-11,"""""",9200500,L84251,400.0,5.0,18.0,Inter,822.0,312360.0,368584.8
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,A12217,1.0,38.0,18.0,Local,1033.0,640.46,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,A12329,1.0,38.0,18.0,Local,281.0,174.22,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,B10329,1.0,38.0,18.0,Local,197.0,122.14,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,C21709,5.0,38.0,18.0,Local,354.0,1097.4,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,D15051,20.0,41.1,18.0,Local,375.0,4417.5,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,D21083,2.0,38.0,12.0,Local,225.0,279.0,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,E10217,1.0,38.0,18.0,Local,156.0,96.72,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,G31171,5.0,38.0,12.0,Local,101.0,313.1,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,H11037,1.0,38.0,18.0,Local,942.0,584.04,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,J10525,1.0,38.0,18.0,Local,271.0,168.02,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,M12237,1.0,38.0,18.0,Local,1308.0,810.96,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,M31701,3.0,38.0,18.0,Local,1016.0,1889.76,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,N11579,6.0,38.0,18.0,Local,270.0,1004.4,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,P10429,10.0,38.0,18.0,Local,324.0,2008.8,19591.88
SO1409,2017-09-11,"""PO : 0035   DT:09/09/2017""",9100087,P11829,1.0,38.0,18.0,Local,163.0,101.06,19591.88
